;;gen-17;feb-17;mar-17;apr-17;mag-17;giu-17;lug-17;ago-17;set-17;ott-17;nov-17;dic-17;gen-18;feb-18;mar-18;apr-18;mag-18;giu-18
1;00:00; 1,67 ; 1,47 ; 5,69 ; 2,16 ; 2,35 ; 1,57 ; 1,96 ; 1,37 ; 1,27 ; 3,63 ; 5,39 ; 5,88 ; 2,35 ; 3,04 ; 4,41 ; 1,67 ; 0,88 ; 0,88 
1;00:06; 1,67 ; 1,57 ; 5,69 ; 1,86 ; 2,45 ; 1,57 ; 2,06 ; 1,47 ; 0,98 ; 3,82 ; 5,49 ; 5,88 ; 2,35 ; 3,33 ; 4,31 ; 1,27 ; 0,88 ; 0,88 
1;00:12; 1,57 ; 1,57 ; 5,78 ; 1,76 ; 2,25 ; 1,57 ; 2,06 ; 1,37 ; 1,08 ; 3,92 ; 5,49 ; 5,88 ; 2,65 ; 3,14 ; 4,31 ; 1,47 ; 1,08 ; 0,98 
1;00:18; 1,57 ; 1,57 ; 5,59 ; 1,96 ; 2,55 ; 1,57 ; 2,25 ; 1,37 ; 1,27 ; 3,92 ; 5,59 ; 5,98 ; 2,55 ; 2,94 ; 4,22 ; 0,88 ; 1,18 ; 0,78 
1;00:24; 1,57 ; 1,57 ; 5,78 ; 1,67 ; 2,25 ; 1,57 ; 2,45 ; 1,57 ; 1,47 ; 4,02 ; 5,59 ; 5,88 ; 2,75 ; 2,84 ; 4,41 ; 0,88 ; 1,08 ; 0,59 
1;00:30; 1,47 ; 1,57 ; 5,88 ; 1,86 ; 2,45 ; 1,57 ; 2,45 ; 1,47 ; 1,18 ; 4,22 ; 5,39 ; 5,98 ; 3,24 ; 3,04 ; 4,12 ; 1,08 ; 1,57 ; 0,78 
1;00:36; 1,57 ; 1,57 ; 5,88 ; 2,16 ; 2,35 ; 1,57 ; 2,35 ; 1,76 ; 1,47 ; 4,31 ; 5,49 ; 6,18 ; 2,94 ; 2,75 ; 3,63 ; 1,08 ; 0,78 ; 0,78 
1;00:42; 1,57 ; 1,57 ; 5,98 ; 1,76 ; 2,55 ; 1,47 ; 2,35 ; 1,76 ; 1,76 ; 4,41 ; 5,59 ; 6,08 ; 2,84 ; 3,04 ; 3,33 ; 1,27 ; 0,69 ; 0,78 
1;00:48; 1,57 ; 1,57 ; 5,88 ; 2,06 ; 2,35 ; 1,47 ; 2,35 ; 1,67 ; 1,18 ; 4,12 ; 5,59 ; 6,27 ; 2,84 ; 2,94 ; 3,43 ; 1,27 ; 0,98 ; 0,78 
1;00:54; 1,57 ; 1,57 ; 5,78 ; 1,67 ; 2,45 ; 1,57 ; 2,45 ; 1,76 ; 1,27 ; 4,22 ; 5,49 ; 6,27 ; 3,24 ; 2,55 ; 3,43 ; 1,18 ; 1,08 ; 0,98 
1;01:00; 1,67 ; 1,67 ; 5,49 ; 1,57 ; 2,65 ; 1,57 ; 2,75 ; 1,57 ; 1,47 ; 4,22 ; 5,49 ; 6,08 ; 3,63 ; 2,84 ; 3,33 ; 0,98 ; 1,18 ; 1,08 
1;01:06; 1,57 ; 1,57 ; 5,49 ; 1,76 ; 2,65 ; 1,67 ; 2,55 ; 1,76 ; 1,27 ; 4,41 ; 5,49 ; 6,27 ; 3,92 ; 2,65 ; 3,33 ; 1,47 ; 1,27 ; 0,98 
1;01:12; 1,67 ; 1,47 ; 5,49 ; 1,96 ; 2,65 ; 1,47 ; 2,75 ; 1,67 ; 1,67 ; 4,41 ; 5,39 ; 6,27 ; 3,92 ; 2,84 ; 3,33 ; 1,47 ; 1,18 ; 0,78 
1;01:18; 1,67 ; 1,47 ; 5,39 ; 1,76 ; 2,55 ; 1,57 ; 2,65 ; 1,86 ; 1,37 ; 4,41 ; 5,59 ; 6,47 ; 3,33 ; 2,45 ; 3,43 ; 1,08 ; 1,18 ; 0,78 
1;01:24; 1,57 ; 1,57 ; 5,39 ; 1,67 ; 2,65 ; 1,47 ; 2,75 ; 1,96 ; 1,86 ; 4,41 ; 5,69 ; 6,27 ; 3,82 ; 2,94 ; 3,43 ; 1,18 ; 0,88 ; 0,59 
1;01:30; 1,47 ; 1,57 ; 5,39 ; 1,86 ; 2,45 ; 1,47 ; 2,84 ; 1,86 ; 1,86 ; 4,71 ; 5,59 ; 6,27 ; 4,51 ; 3,04 ; 3,33 ; 1,57 ; 0,88 ; 0,78 
1;01:36; 1,57 ; 1,67 ; 5,39 ; 1,96 ; 2,65 ; 1,47 ; 2,65 ; 1,76 ; 1,67 ; 4,71 ; 5,49 ; 6,37 ; 4,51 ; 2,84 ; 3,73 ; 1,47 ; 1,27 ; 0,69 
1;01:42; 1,67 ; 1,57 ; 5,29 ; 1,86 ; 2,84 ; 1,67 ; 2,94 ; 1,86 ; 1,57 ; 4,61 ; 5,49 ; 6,27 ; 4,31 ; 2,84 ; 3,82 ; 1,76 ; 0,88 ; 0,88 
1;01:48; 1,67 ; 1,67 ; 5,10 ; 1,76 ; 2,45 ; 1,57 ; 2,84 ; 1,96 ; 1,18 ; 4,61 ; 5,59 ; 6,18 ; 4,41 ; 2,84 ; 3,92 ; 1,37 ; 1,27 ; 0,88 
1;01:54; 1,57 ; 1,57 ; 5,29 ; 1,57 ; 2,55 ; 1,47 ; 3,04 ; 2,06 ; 1,47 ; 4,51 ; 5,59 ; 6,47 ; 4,51 ; 2,84 ; 3,53 ; 1,76 ; 1,08 ; 0,88 
