CAPRINO VERONESE;pH INGRESSO;pH USCITA;T INGRESSO °C;T USCITA °C;PORTATA m3/d;  TEMPO RILEVATO                                                                                               1 = SECCO   -   2 = PIOGGIA                                                                                 3 = NEVE  -   4 = GELO;PORTATA FANGO DI SUPERO mc/d;MAT. GROSSOLANI INGRESSO;MAT. GROSSOLANI USCITA;MAT. SEDIMENTABILI INGRESSO ml/l;MAT. SEDIMENTABILI USCITA ml/l;MAT. IN SOSPENSIONE INGRESSO mg/l;MAT. IN SOSPENSIONE USCITA mg/l;BOD5 INGRESSO mg/l;BOD5 USCITA mg/l;COD INGRESSO mg/l;COD USCITA mg/l;NH4 INGRESSO;NH4 USCITA;N-NO2 INGRESSO mg/l;N-NO2 USCITA mg/l;N-NO3 INGRESSO mg/l;N-NO3 USCITA mg/l;P-PO4  3- INGRESSO mg/l;P-PO4  3- USCITA mg/l;P totale INGRESSO mg/l;P totale USCITA mg/l;N totale INGRESSO mg/l;N totale USCITA mg/l;TKN INGRESSO mg/l;TKN USCITA mg/l;Sostanze oleose estraibili INGRESSO mg/l;Sostanze oleose estraibili USCITA mg/l;Escherichia coli INGRESSO ufc/100 ml;Escherichia coli USCITA ufc/100 ml;SSS fango attivo ossidazione ml/l;SST fango attivo ossidazione g/l;SVI fango attivo ossidazione ml/g;SST fango attivo ricircolo g/l;N-NH4+ INGRESSO;;;
gio 01-01-15;;;;;1559;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ven 02-01-15;;;;;1667;1//4;;;;;;;8,0;;;1356,0;24,0;43,3;0,5;;0,010;;8,30;;;;;;;50,0;;;;;;;;;;33,774;;;
sab 03-01-15;;;;;1697;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
dom 04-01-15;;;;;1723;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
lun 05-01-15;7,44;7,61;11,00;11,20;1489;1//4;;assenti;assenti;5,50;0,1;676,0;15,0;810,0;8,0;1580,0;30,0;57,5;0,7;0,131;0,107;0,50;7,80;5,0;0,91;8,30;1,20;76,00;6,80;75,6;1,05;2,40;0,01;3.700.000;20;930;6,56;141;9,15;44,85;;;
mar 06-01-15;;;;;1425;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
mer 07-01-15;;;;;1585;1//4;188,0;;;;;;9,0;;;1313,0;29,0;52,2;2,9;;0,116;;8,60;;;;;;;85,0;;;;;;;;;;40,716;;;
gio 08-01-15;;;;;1930;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ven 09-01-15;;;;;1648;1//4;168,0;;;;;;9,0;;;1564,0;19,0;50,9;0,5;;0,147;;6,90;;;;;;;65,0;;;;;;;;;;39,702;;;
sab 10-01-15;;;;;1644;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
dom 11-01-15;;;;;1645;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
lun 12-01-15;7,38;7,41;11,10;11,20;1677;1//4;;assenti;assenti;5,50;0,1;156,0;4,0;158,3;0,4;403,0;14,0;58,7;0,5;0,131;0,057;0,50;9,50;3,9;0,61;6,60;0,80;49,70;11,10;49,4;1,00;1,00;0,10;4.100.000;500;940;5,69;165;9,81;45,786;;;
mar 13-01-15;;;;;1791;1//4;181,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
mer 14-01-15;;;;;1459;1//4;;;;;;;5,0;;;1380,0;12,0;59,7;0,5;;0,010;;8,20;;;;;;;68,0;;;;;;;;;;46,566;;;
gio 15-01-15;;;;;1628;1//4;178,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ven 16-01-15;;;;;1925;1//4;60,0;;;;;;4,0;;;1120,0;13,0;40,2;0,5;;0,010;;8,70;;;;;;;50,0;;;;;;;;;;31,356;;;
sab 17-01-15;;;;;1900;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
dom 18-01-15;;;;;1952;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
lun 19-01-15;7,33;7,44;10,90;11,00;1708;1//4;113,0;assenti;assenti;8,50;0,1;820,0;4,0;540,0;16,0;1000,0;19,0;53,4;0,5;0,105;0,010;0,50;5,90;10,0;0,42;12,90;0,60;97,00;9,70;96,7;1,62;5,50;0,01;5.500.000;2.300;900;7,39;121;10,43;41,652;;;
mar 20-01-15;;;;;1542;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
mer 21-01-15;;;;;1682;2;158,0;;;;;;8,0;;;2770,0;22,0;46,1;0,5;;0,200;;11,40;;;;;;;60,0;;;;;;;;;;35,958;;;
gio 22-01-15;;;;;1661;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ven 23-01-15;;;;;1677;1;173,0;;;;;;9,0;;;1570,0;26,0;46,1;0,5;;0,010;;6,60;;;;;;;57,0;;;;;;;;;;35,958;;;
sab 24-01-15;;;;;1596;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
dom 25-01-15;;;;;1571;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
lun 26-01-15;7,63;7,69;10,60;10,70;1739;1;;assenti;assenti;8,00;0,1;840,0;6,0;747,0;17,0;1856,0;30,0;42,6;0,5;0,184;0,055;0,50;8,20;7,3;0,21;12,00;0,40;74,00;11,10;74,0;1,35;1,00;0,11;420.000;50;920;6,210000038;148;7,863999844;33,228;;;
mar 27-01-15;;;;;1457;1;159,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
mer 28-01-15;;;;;1584;1;;;;;;;2,0;;;1051,0;24,0;53,0;0,5;;0,010;;7,50;;;;;;;78,0;;;;;;;;;;41,34;;;
gio 29-01-15;;;;;1539;1//4;93,0;;;;;;;;;;;50,7;0,5;;0,010;;7,40;;;;;;;;;;;;;;;;;39,546;;;
ven 30-01-15;;;;;1634;3//4;;;;;;540,0;5,0;862,0;5,0;1470,0;25,0;;;;;;;;;8,50;1,14;42,70;5,50;55,0;;;;;;;;;;0;;;
sab 31-01-15;;;;;1710;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
dom 01-02-15;;;;;1672;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
lun 02-02-15;7,48;7,80;10,50;10,70;1497;1//4;190,0;assenti;assenti;10,00;0,1;1260,0;6,0;629,0;12,0;2295,0;21,0;49,9;0,5;0,217;0,064;0,50;6,70;7,5;0,22;13,30;0,40;64,50;4,91;64,0;1,09;4,30;0,04;1.700.000;10;960;6,131999969;156;9,017999649;38,922;;;
mar 03-02-15;;;;;1508;1//4;94,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
mer 04-02-15;;;;;1391;1;12,0;;;;;;10,0;;;1840,0;37,0;52,1;0,5;;0,010;;8,20;;;;;;;102,0;;;;;;;;;;40,638;;;
gio 05-02-15;;;;;2105;2;177,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ven 06-02-15;;;;;1868;2;147,0;;;;;;3,0;;;714,0;10,0;31,3;0,5;;0,010;;10,40;;;;;;;38,0;;;;;;;;;;24,414;;;
sab 07-02-15;;;;;1860;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
dom 08-02-15;;;;;1863;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
lun 09-02-15;7,39;7,11;9,70;9,80;1676;1;;assenti;assenti;4,00;0,1;290,0;14,0;171,0;1,0;383,0;18,0;46,1;0,5;0,144;0,044;0,50;8,90;3,9;0,39;5,30;0,53;47,30;10,20;47,3;1,00;1,00;0,14;6.100.000;19;940;5,866000175;160;7,670000076;35,958;;;
