;;gen-17;feb-17;mar-17;apr-17;mag-17;giu-17;lug-17;ago-17;set-17;ott-17;nov-17;dic-17;gen-18;feb-18;mar-18;apr-18;mag-18;giu-18;lug-18
1;00:00;2,06;0,39;2,35;2,7;0,29;0,25;2,6;4,71;2,79;0,74;1,03;3,68;5,69;3,87;5,49;0,59;3,33;1,76;0,25
1;00:06;1,91;0,39;2,45;2,65;0,29;0,25;2,65;4,8;2,75;0,74;1,13;3,68;5,74;3,92;5,49;0,59;3,38;1,76;0,25
1;00:12;2,01;0,39;2,4;2,5;0,29;0,25;2,55;4,85;2,5;0,69;1,32;3,58;5,78;3,82;5,49;0,64;3,43;1,81;0,25
1;00:18;2,11;0,39;2,35;2,79;0,29;0,25;2,6;4,85;2,25;0,34;1,52;3,77;5,88;3,82;5,44;0,64;3,43;1,86;0,25
1;00:24;2,06;0,39;2,4;2,4;0,29;0,25;2,75;4,85;2,3;0,34;1,67;3,82;5,74;3,97;5,39;0,74;3,43;1,86;0,25
1;00:30;2,21;0,39;2,35;2,35;0,29;0,25;2,6;4,9;2,5;0,29;1,76;3,87;5,69;3,92;5,39;0,78;3,58;1,96;0,25
1;00:36;2,16;0,39;2,35;2,6;0,34;0,25;2,21;4,9;2,89;0,29;1,81;3,92;5,88;3,87;5,39;0,83;3,63;1,96;0,25
1;00:42;2,11;0,39;2,45;2,89;0,29;0,25;2,11;4,95;2,94;0,29;1,76;3,87;5,74;3,92;5,44;0,83;3,68;1,96;0,25
1;00:48;2,16;0,39;2,35;2,55;0,29;0,25;2,35;5,05;2,94;0,29;1,76;3,82;5,88;4,02;5,39;0,93;3,77;1,86;0,25
1;00:54;2,21;0,39;2,4;2,4;0,29;0,25;2,5;5;2,79;0,29;1,67;3,87;5,78;3,97;5,44;0,98;3,82;2,01;0,25
1;01:00;2,16;0,39;2,35;2,5;0,29;0,25;2,6;5;2,6;0,29;1,62;3,87;5,88;4,02;5,39;1,03;3,82;2,06;0,25
1;01:06;2,16;0,39;2,3;2,25;0,29;0,25;2,65;4,95;2,5;0,29;1,47;3,87;5,88;4,07;5,49;1,03;3,82;2,16;0,25
1;01:12;2,21;0,39;2,25;2,5;0,34;0,25;2,79;4,95;2,35;0,29;1,32;3,92;5,93;4,02;5,39;1,13;3,77;2,11;0,25
1;01:18;2,21;0,39;2,25;2,84;0,29;0,25;2,65;5,05;2,4;0,29;1,18;3,97;6,03;3,92;5,44;1,08;3,82;2,25;0,25
1;01:24;2,3;0,39;2,3;2,7;0,34;0,25;2,3;5,05;2,6;0,29;0,93;3,38;5,88;4,12;5,54;1,13;3,82;2,4;0,25
1;01:30;2,25;0,39;2,3;2,35;0,29;0,25;2,21;5;2,94;0,29;0,64;2,65;5,93;4,12;5,49;1,23;3,92;2,4;0,25
1;01:36;2,3;0,39;2,21;2,45;0,29;0,25;2,35;5,1;2,94;0,29;0,49;3,24;5,98;4,17;5,49;1,32;3,97;2,4;0,25
1;01:42;2,3;0,39;2,45;2,35;0,29;0,25;2,5;5,1;2,94;0,29;0,49;3,43;5,88;4,12;5,59;1,37;3,97;2,55;0,25
1;01:48;2,45;0,39;2,45;2,75;0,29;0,25;2,7;5,05;2,94;0,29;0,64;3,92;5,98;4,22;5,54;1,42;3,97;2,5;0,25
1;01:54;2,55;0,39;2,45;2,79;0,29;0,25;2,84;5,1;2,79;0,29;1,03;4,36;5,83;4,17;5,49;1,37;3,97;2,35;0,25
1;02:00;2,65;0,39;2,55;2,7;0,29;0,25;2,65;5,05;2,7;0,29;1,32;4,31;5,83;4,17;5,54;1,42;4,02;2,5;0,25
1;02:06;2,7;0,39;2,55;2,65;0,29;0,25;2,3;5;2,6;0,29;1,62;4,31;5,98;4,12;5,59;1,37;4,07;2,5;0,25
1;02:12;2,84;0,39;2,75;2,45;0,29;0,25;2,21;5,05;2,5;0,29;1,81;4,31;5,93;4,17;5,54;1,42;4,12;2,65;0,25
1;02:18;2,84;0,39;2,75;2,55;0,29;0,25;2,5;5,2;2,35;0,29;1,91;4,31;5,98;4,26;5,59;1,42;4,12;2,7;0,25
1;02:24;2,89;0,39;2,65;2,45;0,29;0,34;2,75;5,25;2,5;0,29;1,91;4,26;6,03;4,26;5,59;1,57;4,12;2,65;0,25
1;02:30;3,09;0,39;2,6;2,6;0,29;0,25;2,75;5,29;2,94;0,29;1,72;4,41;6,08;4,31;5,54;1,76;4,12;2,7;0,29
1;02:36;3,28;0,39;2,5;2,7;0,29;0,25;2,5;5,29;3,09;0,29;1,52;4,41;6,08;4,31;5,69;1,86;4,12;2,7;0,25
1;02:42;3,58;0,39;2,4;2,79;0,29;0,25;2,25;5,25;3,04;0,29;1,23;4,36;6,03;4,26;5,74;1,91;4,22;2,6;0,25
1;02:48;3,68;0,39;2,4;3,48;0,29;0,25;2,25;5,29;2,89;0,29;1,03;4,51;6,13;4,22;5,74;1,96;4,26;2,65;0,25
1;02:54;3,68;0,39;2,5;4,07;0,29;0,25;2,55;5,29;2,84;0,29;0,83;4,46;6,23;4,31;5,74;1,96;4,26;2,79;0,25
1;03:00;3,82;0,39;2,84;3,48;0,29;0,25;2,79;5,29;2,75;0,29;0,69;4,61;6,13;4,31;5,78;2,06;4,31;2,7;0,25
1;03:06;4,22;0,39;2,99;3,87;0,29;0,25;2,75;5,25;2,65;0,29;0,54;4,61;6,13;4,36;5,78;2,21;4,36;2,65;0,2
1;03:12;4,17;0,39;3,04;3,97;0,29;0,25;2,5;5,2;2,65;0,29;0,44;4,75;6,27;4,41;5,74;2,21;4,36;2,79;0,25
1;03:18;4,26;0,39;2,94;4,02;0,29;0,25;2,25;5,25;2,55;0,29;0,44;4,8;6,13;4,41;5,83;2,4;4,36;2,89;0,25
1;03:24;4,46;0,39;2,94;4,56;0,29;0,25;2,3;5,34;2,6;0,29;0,44;4,9;6,27;4,46;5,88;2,6;4,41;2,89;0,25
1;03:30;4,56;0,39;2,94;4,51;0,29;0,25;2,55;5,2;2,6;0,29;0,44;5;6,37;4,41;5,88;2,7;4,41;2,94;0,2
1;03:36;4,56;0,39;2,94;4,71;0,29;0,25;2,79;5,29;2,65;0,29;0,39;5,1;6,47;4,46;5,78;2,84;4,51;2,94;0,25
1;03:42;4,66;0,39;2,94;4,71;0,29;0,25;2,89;5,29;2,55;0,29;0,39;4,07;6,47;4,46;5,83;2,94;4,46;2,94;0,25
1;03:48;4,75;0,39;2,89;5,2;0,29;0,25;2,7;5,34;2,6;0,29;0,39;3,58;6,47;4,51;5,88;3,14;4,51;2,99;0,25
1;03:54;4,85;0,39;2,84;5,44;0,29;0,25;2,3;5,39;2,6;0,29;0,44;1,96;6,42;4,51;5,88;3,14;4,51;2,99;0,25
1;04:00;4,85;0,39;2,84;5,49;0,29;0,25;2,25;5,54;2,6;0,29;0,44;1,42;6,47;4,61;5,83;3,38;4,51;2,94;0,25
1;04:06;4,85;0,39;2,84;5,78;0,29;0,25;2,4;5,59;2,6;0,29;0,39;1,23;6,52;4,51;5,88;3,48;4,51;2,89;0,25
1;04:12;4,85;0,39;2,89;6,08;0,29;0,25;2,75;5,64;2,55;0,29;0,44;1,42;6,52;4,71;5,83;3,53;4,56;2,94;0,25
1;04:18;4,95;0,39;2,89;6,13;0,29;0,25;2,79;5,64;2,55;0,29;0,39;1,08;6,57;4,61;5,88;3,63;4,56;3,04;0,25
1;04:24;4,95;0,39;2,84;6,23;0,29;0,25;2,55;5,54;2,6;0,29;0,44;1,03;6,67;4,61;5,98;3,68;4,61;3,04;0,25
1;04:30;5,05;0,39;2,84;6,13;0,29;0,25;2,35;5,49;2,7;0,29;0,44;0,74;6,72;4,56;6,03;3,77;4,66;3,09;0,25
1;04:36;4,9;0,39;2,84;6,37;0,29;0,25;2,35;5,39;2,75;0,29;0,44;1,03;6,86;4,66;6,03;3,87;4,56;3,09;0,25
1;04:42;5;0,39;2,89;6,32;0,29;0,25;2,65;5,44;2,79;0,29;0,39;1,32;6,86;4,75;6,03;3,92;4,66;3,04;0,29
1;04:48;5,05;0,39;2,94;6,62;0,29;0,25;2,99;5,44;2,79;0,29;0,44;7,3;6,96;4,8;5,98;3,97;4,71;3,09;0,34
1;04:54;5,05;0,39;3,04;6,57;0,29;0,25;2,84;5,39;2,79;0,29;0,44;7,35;7,06;4,85;6,03;4,07;4,66;3,19;0,39
1;05:00;5,15;0,39;3,04;6,62;0,29;0,25;2,55;5,34;2,84;0,29;0,39;7,35;7,16;4,85;6,08;4,17;4,71;3,24;0,54
1;05:06;5,1;0,39;3,04;6,67;0,29;0,25;2,35;5,34;2,94;0,29;0,44;7,25;7,3;4,9;6,03;4,22;4,71;3,14;0,69
1;05:12;5,1;0,39;3,04;6,81;0,29;0,25;2,25;5,34;2,99;0,29;0,44;7,11;7,35;4,95;6,13;4,26;4,75;3,19;0,88
1;05:18;5,05;0,39;3,04;6,96;0,29;0,25;2,55;5,39;3,04;0,29;0,44;6,96;7,45;5;6,13;4,26;4,80;3,24;1,23
1;05:24;5,2;0,39;3,14;7,06;0,29;0,25;2,89;5,39;3,14;0,29;0,39;6,86;7,45;5,1;6,23;4,22;4,75;3,24;1,62
1;05:30;5,2;0,39;3,09;7,11;0,29;0,25;2,89;5,39;3,09;0,29;0,44;6,76;7,55;5,15;6,18;4,31;4,75;3,19;1,81
1;05:36;5,2;0,39;3,09;7,16;0,29;0,25;2,7;5,34;3,14;0,29;0,39;6,72;7,7;5,25;6,18;4,31;4,75;3,28;1,96
