;;gen-17;feb-17;mar-17;apr-17;mag-17;giu-17;lug-17;ago-17;set-17;ott-17;nov-17;dic-17;gen-18;feb-18;mar-18;apr-18;mag-18;giu-18;lug-18
1;00:00; 3,48 ; 2,35 ; 2,99 ; 2,40 ; 2,84 ; 3,38 ; 4,90 ; 3,33 ; 2,75 ; 3,38 ; 2,06 ; 2,75 ; 5,93 ; 3,92 ; 2,94 ; 5,74 ; 4,07 ; 8,24 ; 10,00 
1;00:06; 3,63 ; 2,79 ; 2,84 ; 2,40 ; 2,89 ; 3,38 ; 5,05 ; 3,38 ; 2,40 ; 3,48 ; 2,16 ; 2,65 ; 6,08 ; 3,97 ; 3,73 ; 5,74 ; 4,02 ; 8,19 ; 10,00 
1;00:12; 3,53 ; 3,14 ; 3,33 ; 2,45 ; 2,75 ; 3,19 ; 5,20 ; 3,48 ; 3,48 ; 3,53 ; 2,01 ; 2,89 ; 7,06 ; 4,17 ; 3,92 ; 5,54 ; 4,46 ; 8,14 ; 10,00 
1;00:18; 3,82 ; 2,75 ; 3,48 ; 1,76 ; 2,89 ; 3,28 ; 5,10 ; 3,48 ; 2,94 ; 3,63 ; 2,35 ; 2,99 ; 5,59 ; 4,51 ; 4,41 ; 5,83 ; 4,36 ; 8,24 ; 10,00 
1;00:24; 4,02 ; 3,14 ; 3,28 ; 2,21 ; 2,89 ; 3,19 ; 5,15 ; 3,48 ; 2,30 ; 3,77 ; 2,01 ; 2,99 ; 5,49 ; 4,17 ; 3,38 ; 5,78 ; 4,71 ; 8,04 ; 10,00 
1;00:30; 3,82 ; 2,70 ; 3,33 ; 2,40 ; 2,75 ; 3,24 ; 5,20 ; 3,58 ; 3,68 ; 3,58 ; 1,96 ; 2,84 ; 7,21 ; 4,56 ; 5,05 ; 5,49 ; 4,22 ; 8,28 ; 10,00 
1;00:36; 3,92 ; 2,94 ; 3,19 ; 2,40 ; 2,89 ; 3,28 ; 5,20 ; 3,58 ; 3,19 ; 3,73 ; 2,01 ; 3,09 ; 5,93 ; 4,26 ; 5,64 ; 5,59 ; 4,95 ; 8,09 ; 10,00 
1;00:42; 4,12 ; 2,79 ; 3,38 ; 2,40 ; 2,99 ; 3,38 ; 5,25 ; 3,58 ; 2,60 ; 3,58 ; 2,21 ; 3,38 ; 6,91 ; 4,17 ; 4,51 ; 5,69 ; 5,00 ; 8,24 ; 10,00 
1;00:48; 4,41 ; 2,99 ; 3,43 ; 2,79 ; 3,28 ; 3,38 ; 5,29 ; 3,63 ; 2,30 ; 3,77 ; 2,11 ; 3,33 ; 7,40 ; 4,36 ; 6,13 ; 5,54 ; 4,61 ; 8,09 ; 10,00 
1;00:54; 4,26 ; 2,79 ; 3,87 ; 1,96 ; 3,33 ; 3,43 ; 5,29 ; 3,68 ; 3,19 ; 3,73 ; 2,30 ; 3,28 ; 7,30 ; 4,36 ; 3,63 ; 5,88 ; 4,51 ; 8,14 ; 10,00 
