S. AMBROGIO;pH INGRESSO;pH USCITA;T INGRESSO °C;T USCITA °C;PORTATA IN m3/d;BY-PASS m3/d;PORTATA OUT m3/d;  TEMPO RILEVATO                                                                                               1 = SECCO   -   2 = PIOGGIA                                                                                 3 = NEVE  -   4 = GELO;PORTATA FANGO DI SUPERO ;MAT. GROSSOLANI INGRESSO;MAT. GROSSOLANI USCITA;MAT. SEDIMENTABILI INGRESSO ml/l;MAT. SEDIMENTABILI USCITA ml/l;MAT. IN SOSPENSIONE INGRESSO mg/l;MAT. IN SOSPENSIONE USCITA mg/l;BOD5 INGRESSO mg/l;BOD5 USCITA mg/l;COD INGRESSO mg/l;COD USCITA mg/l;NH4 INGRESSO;NH4 USCITA;N-NO2 INGRESSO mg/l;N-NO2 USCITA mg/l;N-NO3 INGRESSO mg/l;N-NO3 USCITA mg/l;P-PO4  3- INGRESSO mg/l;P-PO4  3- USCITA mg/l;P totale INGRESSO mg/l;P totale USCITA mg/l;N totale INGRESSO mg/l;N totale USCITA mg/l;TKN INGRESSO mg/l;TKN USCITA mg/l;Sostanze oleose estraibili INGRESSO mg/l;Sostanze oleose estraibili USCITA mg/l;Escherichia coli INGRESSO ufc/100 ml;Escherichia coli USCITA ufc/100 ml;SSS solidi sedimentabili fango attivo ossidazione 1 ml/l;SST fango attivo ossidazione 1 g/l;SVI fango attivo ossidazione 1 ml/g;SST fango attivo ricircolo 1 g/l;SSS solidi sedimentabili fango attivo ossidazione 2 ml/l;SST fango attivo ossidazione 2 g/l;SVI fango attivo ossidazione 2 ml/g;SST fango attivo ricircolo 2 g/l;SSS solidi sedimentabili fango attivo ossidazione 3 ml/l;SST fango attivo ossidazione 3 g/l;SVI fango attivo ossidazione 3 ml/g;SST fango attivo ricircolo 3 g/l;N-NH4+ INGRESSO [mg/L]
gio 01-01-15;;;;;5468;;5468;1//4;250,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ven 02-01-15;;;;;5435;;5435;1//4;;;;;;;2,0;;;511,0;16,0;35,5;0,5;;0,010;;4,10;;;;;;;39,0;;;;;;;;;;;;;;;;;;27,69
sab 03-01-15;;;;;5386;;5386;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
dom 04-01-15;;;;;5484;;5484;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
lun 05-01-15;12,10;11,70;7,79;7,82;5080;;5080;1//4;;assenti;assenti;4,50;0,1;184,0;22,0;120,0;10,0;265,0;35,0;66,8;0,5;0,114;0,014;0,50;2,20;3,5;1,00;5,70;1,30;60,70;8,80;60,7;8,83;1,00;0,001;2.900.000;550;880;3,798000097;232;4,690000057;900;5,010000229;179;4,961999893;880;4,708000183;187;5,68200016;52,104
mar 06-01-15;;;;;5142;;5142;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
mer 07-01-15;;;;;4637;;4637;1//4;300,0;;;;;;6,0;;;922,0;30,0;88,1;0,5;;0,032;;2,70;;;;;;;94,0;;;;;;;;;;;;;;;;;;68,718
gio 08-01-15;;;;;5404;;5404;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ven 09-01-15;;;;;5504;;5504;1//4;300,0;;;;;;7,0;;;1028,0;17,0;79,1;0,5;;0,025;;3,30;;;;;;;85,0;;;;;;;;;;;;;;;;;;61,698
sab 10-01-15;;;;;5490;;5490;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
dom 11-01-15;;;;;5497;;5497;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
lun 12-01-15;7,01;7,38;11,20;11,30;5682;;5682;1//4;;assenti;assenti;5,00;0,1;168,0;11,0;190,3;0,8;584,0;19,0;67,5;1,1;0,501;0,170;0,50;5,00;4,0;0,28;7,50;0,40;72,00;8,10;70,9;2,72;1,00;0,001;3.900.000;3.700;980;5,518000126;177;6,992000103;970;5,68599987;170;5,96600008;750;4,619999886;162;4,973999977;52,65
mar 13-01-15;;;;;6176;;6176;1//4;300,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
mer 14-01-15;;;;;4849;;4849;1//4;;;;;;;8,0;;;1110,0;17,0;92,1;0,5;;0,010;;5,50;;;;;;;100,0;;;;;;;;;;;;;;;;;;71,838
gio 15-01-15;;;;;5918;;5918;1//4;300,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ven 16-01-15;;;;;6003;3;6006;1//4;300,0;;;;;;5,0;;;810,0;15,0;45,8;0,5;;0,010;;7,70;;;;;;;57,0;;;;;;;;;;;;;;;;;;35,724
sab 17-01-15;;;;;5965;;5965;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
dom 18-01-15;;;;;6042;;6042;1//4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
lun 19-01-15;7,36;7,44;11,50;11,60;5187;;5187;1//4;300,0;assenti;assenti;4,00;0,1;328,0;11,0;225,0;1,6;483,0;30,0;86,6;0,5;0,103;0,010;0,50;1,70;7,3;1,20;11,50;1,50;91,00;3,21;91,0;1,00;1,00;0,010;310.000;1.300;980;5,863999844;;6,223999977;970;5,550000191;;6,857999802;500;3,220000029;155;4,440000057;67,548
mar 20-01-15;;;;;5308;;5308;1//4;180,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
mer 21-01-15;;;;;5240;74;5314;2;220,0;;;;;;12,0;;;444,0;29,0;66,1;0,5;;0,010;;2,80;;;;;;;68,0;;;;;;;;;;;;;;;;;;51,558
